mol_index,structure_id,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,transformation,left_fragment,right_fragment,flag,sascore
132,Str_g_11487,COCCn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-2.0901344,1.4074032,0.1390956,0.0002706,0.0670508,0.0150701,0.0117543,0.093372,-4.765669,7.1e-06,0.2723988,28.489758,1.3224576,60.316097,0.0172654,0.9083533,0.0373611,0.0607428,0.0131318,0.5324155,0.0067618,0.0643485,0.1097503,0.1723374,7.4070215,0.7015065,0.0211441,0.8749569,0.990036,0.9951072,0.9457306,0.0446421,0.4746356,0.1368748,0.0090741,0.3023222,0.8517228,0.3891062,4.58988,4.4771585,3.970121,0.0018846,0.0045785,0.8421379,0.9820901,0.1126865,0.1571767,0.8762989,0.8431845,0.0582922,0.1256824,0.281567,0.9043479,[2*][1*]>>[1*]CCO[2*],[2*][1*],[1*]CCO[2*],left,3.1682332
133,Str_g_11487,Cn1cnc([N+](=O)[O-])c1CCOSc1ncnc2nc[nH]c12,-2.5654492,1.4802494,0.5612044,0.0001481,0.6864726,0.0093726,0.0108798,0.0699483,-4.9117136,6.9e-06,0.2675347,35.756004,1.5357873,52.99936,0.0250091,0.8970872,0.0425398,0.0597697,0.0143869,0.675838,0.0097852,0.0677024,0.128078,0.2547442,8.436991,0.7441087,0.0255169,0.9066168,0.9867333,0.9874914,0.9826242,0.36132,0.9536496,0.0595066,0.0059137,0.1611155,0.9756045,0.2291866,4.355252,5.882441,4.5159636,0.0019487,0.0032379,0.8541782,0.9801189,0.1546948,0.0731834,0.9630047,0.8466237,0.0342822,0.1197429,0.32589,0.8889579,[2*][1*]>>[1*]CCO[2*],[2*][1*],[1*]CCO[2*],left,3.5038223
134,Str_g_11487,Cn1cnc(OCC[N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-2.5022392,1.447958,0.59887,0.0003608,0.3524718,0.011791,0.5795915,0.1306034,-4.9986477,6.5e-06,0.3625389,43.642437,1.0790904,52.917713,0.0430293,0.7562092,0.0788599,0.0578167,0.0282122,0.4715238,0.0038996,0.0583289,0.0838367,0.1792857,10.234182,0.7756382,0.0222311,0.8949649,0.9840487,0.708699,0.9059242,0.1006502,0.906624,0.053583,0.005285,0.2770164,0.8335421,0.3187025,4.238181,4.036515,3.915789,0.0029638,0.0030172,0.8525193,0.9599121,0.0992844,0.0108925,0.5830187,0.6695056,0.0392307,0.0606063,0.1876457,0.8099246,[2*][1*]>>[1*]CCO[2*],[2*][1*],[1*]CCO[2*],left,3.4691607
135,Str_g_11487,Cn1cnc([N+](=O)[O-])c1SOCCc1ncnc2nc[nH]c12,-3.0210066,1.5411292,0.6138008,0.0001698,0.7157897,0.0091969,0.0118142,0.0949615,-4.856745,7.2e-06,0.2928904,39.257477,1.4432472,51.74995,0.0202256,0.8828121,0.0502074,0.0602505,0.0135821,0.615239,0.012221,0.0648889,0.1305188,0.282186,9.114164,0.7383366,0.0168615,0.9388962,0.9879098,0.987357,0.9929013,0.3503859,0.9542155,0.0485392,0.0095465,0.4323211,0.9832978,0.182472,4.368522,6.007821,4.5273757,0.0038821,0.0032693,0.7887734,0.9807885,0.1369637,0.1535551,0.9586326,0.7619264,0.0514733,0.3048672,0.3382678,0.892266,[2*][1*]>>[1*]CCO[2*],[2*][1*],[1*]CCO[2*],left,3.4969278
136,Str_g_11487,Cn1cnc([N+](=O)CCO[O-])c1Sc1ncnc2nc[nH]c12,-2.2814765,0.3495228,-0.2601828,0.00025,0.5123477,0.0104748,0.6264658,0.3719068,-4.956031,8.9e-06,0.6546736,44.146164,1.2760144,52.634937,0.0225306,0.8472992,0.0349788,0.0591484,0.0126543,0.6961718,0.0069352,0.1040719,0.0671893,0.1568022,4.589774,0.7763436,0.0160419,0.7583074,0.985672,0.9390116,0.9497055,0.1210344,0.7416538,0.0715426,0.0222903,0.3829237,0.9437466,0.2695886,4.841113,4.584913,4.0006905,0.0026694,0.0032058,0.7742727,0.9789184,0.1863869,0.0159891,0.958727,0.802014,0.0288897,0.06743,0.3278824,0.8964092,[2*][1*]>>[1*]CCO[2*],[2*][1*],[1*]CCO[2*],left,3.9154662
137,Str_g_11487,CCCOn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-3.0106902,2.0020626,0.9658067,0.0002023,0.010486,0.0086455,0.015522,0.0154355,-4.7405095,8.7e-06,0.0154171,53.38539,1.0602229,38.96094,0.1067319,0.5571369,0.1726387,0.0623326,0.0574017,0.3131336,0.0086939,0.0440273,0.2336176,0.1661056,10.689008,0.606205,0.017656,0.8707159,0.987512,0.9676013,0.9579098,0.1475069,0.2772364,0.0807901,0.0067975,0.26288,0.9340118,0.5354216,4.779493,4.656238,4.0798182,0.0029706,0.0045774,0.8605729,0.9840752,0.1127855,0.0727933,0.8881934,0.8722525,0.1778082,0.2155992,0.3825479,0.9580374,[2*][1*]>>[1*]CCO[2*],[2*][1*],[1*]CCO[2*],left,3.401508
138,Str_g_11489,Cn1cnc(CC[N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-2.2625866,1.3396083,0.1995562,0.0006058,0.9658285,0.0115851,0.0253902,0.0168414,-5.019511,4.4e-06,0.5662216,44.74267,1.1178749,54.465378,0.0218577,0.8394409,0.0822735,0.0581213,0.0228568,0.6247103,0.0049416,0.0630839,0.0931549,0.249725,8.738991,0.8066741,0.0148281,0.8796396,0.9768258,0.6830296,0.9452853,0.4606481,0.9067749,0.0544632,0.0075048,0.27222,0.8423729,0.1940233,4.343423,3.8338356,3.896793,0.0028116,0.0027805,0.651855,0.9605331,0.0779714,0.0103217,0.7741602,0.6184442,0.0198626,0.0643777,0.1424463,0.7552286,[2*][1*]>>[1*]CC[2*],[2*][1*],[1*]CC[2*],left,3.4649213
139,Str_g_11489,CCCn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,-2.737907,1.9231726,0.9840252,0.0003345,0.0530984,0.0101954,0.0080653,0.0158362,-4.7081733,8e-06,0.0473837,54.06852,1.1434444,41.307762,0.1049761,0.4243216,0.1954452,0.0634477,0.0518551,0.6630014,0.025634,0.0606589,0.2596246,0.1403572,10.218682,0.7516524,0.0248597,0.8699155,0.9883838,0.9853069,0.9578995,0.2053904,0.6842186,0.1029807,0.0215062,0.5188128,0.8915204,0.5268206,4.760438,4.8179135,4.0702085,0.0025646,0.0033269,0.8567446,0.9829437,0.1174325,0.0969605,0.9054349,0.8556124,0.0544688,0.2776822,0.3804128,0.9193092,[2*][1*]>>[1*]CC[2*],[2*][1*],[1*]CC[2*],left,3.1676398
140,Str_g_11489,Cn1cnc([N+](=O)CC[O-])c1Sc1ncnc2nc[nH]c12,-2.2112055,0.557402,0.0215256,0.000184,0.9771839,0.0199487,0.06964,0.0415962,-5.0059566,8.5e-06,0.7523272,38.80495,1.1814835,56.07585,0.0258532,0.8283525,0.0348611,0.0599606,0.0108436,0.6612369,0.0063535,0.1000801,0.062649,0.1820375,4.365955,0.8156982,0.0088234,0.8117741,0.9858389,0.874681,0.9550393,0.0408744,0.6345161,0.0965278,0.0160921,0.5199967,0.9199584,0.1888404,4.6150985,4.0201454,3.7889369,0.0019827,0.0031854,0.8007986,0.9792337,0.2076946,0.0217101,0.949549,0.7867245,0.0273595,0.0677532,0.3477466,0.9094926,[2*][1*]>>[1*]CC[2*],[2*][1*],[1*]CC[2*],left,3.8603167
141,Str_g_11489,Cn1cnc([N+](=O)[O-])c1SCCc1ncnc2nc[nH]c12,-3.152341,1.5923343,0.7827011,0.0002034,0.8669807,0.0102852,0.0034618,0.0052806,-4.83148,6e-06,0.2778256,44.138107,1.1773813,47.43345,0.0318424,0.8638426,0.0613378,0.0588437,0.0107898,0.71963,0.0215114,0.0707914,0.1691405,0.2621316,8.914579,0.7965716,0.0149436,0.8731662,0.9847985,0.788738,0.9820795,0.4320172,0.920714,0.0486013,0.005249,0.2032721,0.9263052,0.1763259,4.402427,3.2951846,4.217313,0.0042135,0.0031429,0.8511789,0.9807669,0.0942187,0.1715784,0.9550706,0.6726206,0.0509104,0.4229572,0.2689049,0.9164174,[2*][1*]>>[1*]CC[2*],[2*][1*],[1*]CC[2*],left,3.2531882
