mol_index,structure_id,smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,transformation,left_fragment,right_fragment,flag,sascore
87,Str_g_9143,COc1cccc2c1c([O-])c([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-3.9894044,1.7168711,3.5983005,0.0412487,6.71e-05,0.0099192,0.0019851,0.0010937,-4.900949,4.34e-05,0.0456914,95.254326,0.6257003,6.44367,0.5801677,0.2665614,0.0960295,0.0742132,0.6864438,0.5436688,0.7435888,0.1300948,0.1833109,0.0238982,1.7098188,0.5931266,0.0389807,0.8997032,0.9806319,0.8395042,0.1363424,0.1350345,0.7899199,0.9225373,0.0060721,0.4223999,0.9191747,0.5882951,3.3821225,4.386919,4.8200026,0.009549,0.1011699,0.9354631,0.0114298,0.1183967,0.6550767,0.241466,0.7425547,0.1537098,0.1504675,0.9096382,0.948079,[1*][H]>>[1*][O-],[1*][H],[1*][O-],left,3.0402487
88,Str_g_11622,CCCOOc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.3794947,2.5580766,4.7071433,0.0085215,0.0002333,0.0027554,0.0027192,0.0067363,-4.759085,2.94e-05,0.0915825,97.509995,0.3634583,1.922207,0.790439,0.1750851,0.2205382,0.0672394,0.7848583,0.3175272,0.7292956,0.1437276,0.3702695,0.0263079,5.2314224,0.2735072,0.2781836,0.1974053,0.9822026,0.9525481,0.0288093,0.3706086,0.9289791,0.9161416,0.0054607,0.5822807,0.9034221,0.7025526,3.7741587,5.150522,4.810488,0.010987,0.521704,0.9771896,0.0681945,0.3405638,0.427503,0.8600056,0.9136245,0.3802564,0.8157776,0.9446886,0.9653972,[2*][1*]>>[1*]OCC[2*],[2*][1*],[1*]OCC[2*],left,2.9606866
89,Str_g_9032,COc1ccc(N(C)C)c2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.5422707,2.3599374,4.223907,0.0041163,0.0014163,0.013252,0.0054732,0.0046151,-4.779906,2.84e-05,0.0286965,87.78887,1.0864391,7.969387,0.7940088,0.5692882,0.2079629,0.105823,0.7032493,0.4608503,0.7495353,0.1583257,0.2173833,0.0442608,5.7571735,0.4524544,0.0943359,0.3705276,0.984556,0.9474958,0.0915006,0.2182603,0.8423915,0.9258647,0.0104945,0.589252,0.9551397,0.5537645,3.6684413,4.747003,4.882643,0.0124328,0.5842268,0.9801584,0.0553637,0.4090036,0.6828618,0.5233078,0.8821763,0.8529615,0.6377856,0.9619788,0.9813557,[1*][H]>>[1*]N(C)C,[1*][H],[1*]N(C)C,left,2.8745172
90,Str_g_8974,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)c(CCO)c3c(c12)OCO3,-3.9667575,1.4944307,3.3602035,0.0035243,0.0003252,0.0047296,0.0045219,0.0008954,-5.0746202,5.05e-05,0.0287289,95.01713,0.9005035,5.671929,0.6732668,0.5170973,0.0801111,0.0707981,0.5342151,0.511419,0.6840509,0.1467034,0.2809514,0.0288741,3.6667447,0.486842,0.0863946,0.5029536,0.9878615,0.886771,0.0232392,0.1038951,0.7583766,0.9323305,0.0039455,0.2617124,0.903572,0.5768157,3.2362509,3.964912,3.8982527,0.0146462,0.1053494,0.9365546,0.02442,0.1883614,0.5563442,0.1304914,0.7791879,0.064737,0.1446655,0.9316212,0.9253932,[1*][H]>>[1*]CCO,[1*][H],[1*]CCO,left,2.9416714
91,Str_g_9088,COc1c(OC(F)(F)F)ccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,-4.668257,3.2945356,4.9218,0.0166217,0.0001852,0.0024521,0.0025091,0.001008,-4.794563,6.62e-05,0.1854496,99.497444,0.4122022,1.6473274,0.5395512,0.7079836,0.1322706,0.0671008,0.7383542,0.3413967,0.6929342,0.1330304,0.3621744,0.0454887,3.981346,0.2502841,0.0883485,0.9411582,0.9885851,0.9521589,0.6414562,0.7284496,0.5821734,0.9115108,0.003271,0.0337474,0.949389,0.7154914,3.509558,5.025496,5.361015,0.0240109,0.276584,0.9771617,0.1001901,0.1349332,0.4413712,0.4963568,0.8399261,0.679448,0.7940263,0.940935,0.9748164,[1*][H]>>[1*]OC(F)(F)F,[1*][H],[1*]OC(F)(F)F,left,2.8825669
92,Str_g_8903,CCC1Oc2cc(C(=O)O)c3c([N+](=O)[O-])cc4c(OC)cccc4c3c2O1,-4.443643,2.0127163,4.313836,0.0078331,0.0003175,0.0036426,0.001022,0.0005652,-4.880944,1.93e-05,0.1222373,93.99549,0.4096778,4.818834,0.6023724,0.6153831,0.1242768,0.1390992,0.7062633,0.4306188,0.7098393,0.1371395,0.1107031,0.0656251,1.8082374,0.4174581,0.1861002,0.7606438,0.9867395,0.9757628,0.0556859,0.4888804,0.8419253,0.9460984,0.0039429,0.1456255,0.9394177,0.6735711,3.7168252,5.3219767,4.957241,0.6295736,0.6783163,0.9549443,0.0363601,0.1592434,0.5163826,0.7454821,0.8389782,0.5102366,0.7854649,0.9252325,0.9275534,[1*][H]>>[1*]CC,[1*][H],[1*]CC,left,3.3675121
93,Str_g_11337,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)C(C)O)cc3c(c12)OCO3,-4.980476,2.6769762,3.1900914,0.0477883,0.0005531,0.0039392,0.0021323,0.0036446,-4.8114185,6.42e-05,0.0680165,95.337296,0.6637063,4.774413,0.9544547,0.4726074,0.911163,0.2577498,0.8239946,0.8693854,0.8698544,0.3928634,0.8675752,0.1235237,5.4800878,0.3025287,0.0367952,0.4334423,0.8833284,0.9370917,0.0531811,0.6567951,0.7176044,0.9398329,0.0035519,0.3132681,0.9039951,1.683553,4.387535,5.4506216,5.961194,0.0073886,0.6636669,0.9855251,0.3314872,0.1780681,0.6860461,0.6969412,0.9069915,0.6802196,0.8344488,0.9466237,0.9727846,[2*][1*]>>[1*]C([2*])C,[2*][1*],[1*]C([2*])C,left,3.2801576
94,Str_g_11533,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCC[C@@H](C)O3,-4.40814,2.8218987,4.7165537,0.0203884,0.0001475,0.0038469,0.0013686,0.0007064,-5.0017033,1.7e-05,0.0929631,95.08037,0.4114667,4.145433,0.6661152,0.5238152,0.2417838,0.0869665,0.8363964,0.5997548,0.6393332,0.1548739,0.1014067,0.0442003,1.7117438,0.4089941,0.1297568,0.7708469,0.9852174,0.9720445,0.0358563,0.6419298,0.9320757,0.9372041,0.0039267,0.2565333,0.8593005,0.5172951,3.6097748,4.915617,4.7736363,0.6569994,0.3201474,0.9576607,0.5922444,0.134468,0.2163168,0.786833,0.8187714,0.1845946,0.7935683,0.9109392,0.941053,[2*][1*]>>[1*]C[C@H]([2*])C,[2*][1*],[1*]C[C@H]([2*])C,left,3.1948988
95,Str_g_11487,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OOCCCO3,-4.500895,2.5192292,4.0651417,0.0123804,0.0003221,0.0049873,0.0033547,0.0049664,-4.8520856,2.04e-05,0.0560913,94.06813,0.41715,7.501956,0.498253,0.554851,0.139506,0.0704908,0.6897154,0.2721026,0.573633,0.145962,0.0909548,0.0384979,2.3993282,0.4774228,0.2445428,0.2945107,0.982577,0.961318,0.0452515,0.3937132,0.941343,0.9076532,0.0041088,0.4898566,0.8584288,0.5958284,3.6301396,5.0332975,4.666067,0.217772,0.5505671,0.9665622,0.702602,0.1671958,0.4449694,0.9170154,0.9030105,0.2864595,0.8087871,0.932528,0.9645233,[2*][1*]>>[1*]CCO[2*],[2*][1*],[1*]CCO[2*],left,2.9653014
96,Str_g_11622,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCOOCC3,-4.27099,2.2696095,4.17522,0.0018849,0.0003168,0.0036471,0.0043482,0.0702448,-4.7215014,4.8e-05,0.0623426,96.15165,0.3859126,3.0897799,0.557312,0.7249809,0.1240074,0.0652416,0.6278324,0.2464576,0.253651,0.1414347,0.0903332,0.0329878,2.5130272,0.3163987,0.2461968,0.4692148,0.9820967,0.9626521,0.0328788,0.5048797,0.9253424,0.9325879,0.0044537,0.5159276,0.8370093,0.7333489,3.7871127,4.998275,4.666986,0.0274059,0.4545518,0.9649344,0.0905922,0.5372707,0.5338788,0.8794389,0.8633234,0.4483706,0.6418218,0.9319689,0.9526729,[2*][1*]>>[1*]OCC[2*],[2*][1*],[1*]OCC[2*],left,3.0953992
